# Constructed from biom file																																				
#OTU ID	G1-AWI11	G10-ROS4	G11-DAL30	G12-NOC23	G13-NOAA23	G14-ROS20	G15-AWI3	G16-NOC11	G17-DAL12	G18-NOAA6	G19-AWI7	G2-NOAA29	G20-ROS12	G21-NOC33	G22-DAL24	G23-NOAA12	G24-AWI15	G25-ROS8	G26-NOAA5	G27-eMock2-2	G28-eMock2-7	G29-eMockA-11	G3-DAL6	G30-eMockB-18	G31-eMockB-20	G32-bMock2	G33-bMock9	G34-bMock20	G35-bMock22	G36-bMock27	G4-ROS16	G5-NOC4	G6-DAL18	G7-NOC20	G8-AWI19	G9-NOAA17
15949af7fbc59962388dce15963f9cec	1119	0	33	0	0	0	2618	0	21	0	1176	0	0	0	87	0	654	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	41	0	1276	0
93057ec78dd6c1244479732042625975	0	251	28	597	298	179	0	573	13	195	0	423	115	599	65	137	0	169	279	0	0	0	29	0	0	0	0	0	0	0	279	1204	33	803	0	61
01e3a10453a0f7cc6f327b8091090c58	0	300	261	479	76	100	20	527	120	31	0	62	78	522	545	0	0	89	58	0	0	0	338	0	0	0	0	0	0	0	158	1200	356	961	10	17
401a67858704d406087efd35334e84e1	36	546	96	348	225	415	66	333	34	197	17	332	263	476	184	122	19	285	262	0	0	0	129	0	0	0	0	0	0	0	535	763	131	341	24	56
0e775fc1584ed21db02c44461c5e120e	0	293	0	519	355	236	0	444	0	267	0	428	139	617	0	195	0	163	364	0	0	0	0	0	0	0	0	0	0	0	344	1151	0	594	0	59
1e614f8afc3f5658f8a367c418dde0f9	0	99	0	85	1555	39	0	87	0	527	0	777	0	65	35	793	0	0	1182	0	0	0	0	0	0	0	0	0	0	0	43	143	0	81	0	523
71a33c961f2ca92f6ce97184fcb81f01	39	0	941	0	0	0	116	0	373	0	26	0	0	0	1435	0	4	0	0	0	0	0	1388	0	0	0	0	0	0	0	0	0	1484	0	14	0
80dc946a01370f529b617e07f938d10a	39	0	0	1514	0	0	38	533	0	0	26	0	0	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1570	0	1095	24	0
afb7d45c7ac635614787ce82d123cffe	0	374	130	500	272	123	0	319	63	168	0	261	61	585	220	130	0	97	201	0	0	0	242	0	0	0	0	0	0	0	122	619	195	619	0	135
9af3fa7eb6d9cbf3e29a02c0278de315	0	783	21	108	866	304	0	66	17	326	0	574	138	88	34	368	0	167	565	0	0	0	43	0	0	0	0	0	0	0	291	110	28	80	0	361
